table_name,column_name,data_type,is_nullable,column_default
candidatos_homologacion,id,uuid,NO,gen_random_uuid()
candidatos_homologacion,homologacion_id,uuid,NO,null
candidatos_homologacion,ranking,integer,NO,null
candidatos_homologacion,producto_codigo,text,NO,null
candidatos_homologacion,producto_nombre,text,NO,null
candidatos_homologacion,producto_descripcion,text,YES,null
candidatos_homologacion,stock_disponible,integer,YES,null
candidatos_homologacion,ubicacion_stock,text,YES,null
candidatos_homologacion,score_similitud,double precision,NO,null
candidatos_homologacion,razonamiento,text,YES,null
documentos,id,uuid,NO,gen_random_uuid()
documentos,licitacion_id,uuid,NO,null
documentos,nombre_archivo,text,NO,null
documentos,tipo_documento,text,YES,null
documentos,total_paginas,integer,YES,null
documentos,hash_archivo,text,YES,null
documentos,creado_en,timestamp with time zone,NO,now()
finanzas_garantias,id,uuid,NO,gen_random_uuid()
finanzas_garantias,finanzas_licitacion_id,uuid,NO,null
finanzas_garantias,tipo,text,NO,null
finanzas_garantias,monto,numeric,YES,null
finanzas_garantias,moneda,text,YES,null
finanzas_garantias,vigencia,text,YES,null
finanzas_garantias,descripcion,text,YES,null
finanzas_licitacion,id,uuid,NO,gen_random_uuid()
finanzas_licitacion,licitacion_id,uuid,NO,null
finanzas_licitacion,presupuesto_referencial,numeric,YES,null
finanzas_licitacion,moneda,text,YES,null
finanzas_licitacion,forma_pago,text,YES,null
finanzas_licitacion,plazo_pago,text,YES,null
finanzas_licitacion,fuente_financiamiento,text,YES,null
finanzas_licitacion,observaciones,text,YES,null
finanzas_licitacion,fecha_extraccion,timestamp with time zone,NO,now()
finanzas_licitacion,garantias,text,YES,null
finanzas_licitacion,multas,text,YES,null
finanzas_licitacion,otros,text,YES,null
finanzas_licitacion,resumen,text,YES,null
finanzas_licitacion,updated_at,timestamp without time zone,YES,now()
finanzas_licitacion,archivo_origen_id,uuid,YES,null
finanzas_multas,id,uuid,NO,gen_random_uuid()
finanzas_multas,finanzas_licitacion_id,uuid,NO,null
finanzas_multas,descripcion,text,NO,null
finanzas_multas,monto,numeric,YES,null
finanzas_multas,moneda,text,YES,null
finanzas_multas,condicion_aplicacion,text,YES,null
homologaciones_productos,id,uuid,NO,gen_random_uuid()
homologaciones_productos,licitacion_id,uuid,NO,null
homologaciones_productos,item_key,text,NO,null
