codigo;nombre_producto;descripcion;precio_referencial
DEN-001;Silla Dental Hidráulica;Sillón dental hidráulico con respaldo reclinable y apoyabrazos, capacidad 180 kg;3500000
DEN-002;Unidad Dental Completa;Unidad dental con compresor integrado, lámpara LED y sistema de succión;8900000
DEN-003;Lámpara de Fotocurado LED;Lámpara de fotocurado inalámbrica 1200 mW/cm2, batería recargable;320000
DEN-004;Autoclave Clase B 18L;Esterilizador de vapor clase B 18 litros con ciclos pre-vacío;2100000
DEN-005;Set Instrumental Básico Diagnóstico;Set de 5 piezas: espejo, sonda, pinzas, explorador, cucharilla;45000
DEN-006;Resina Compuesta Fotopolimerizable;Resina nanohíbrida fotopolimerizable, jeringa 4g, colores A1/A2/A3;28000
DEN-007;Anestésico Local Lidocaína 2%;Lidocaína 2% con epinefrina 1:100.000, caja 50 carpules;85000
DEN-008;Guantes de Nitrilo Sin Polvo M;Guantes nitrilo sin polvo talla M, caja 100 unidades;12500
DEN-009;Mascarillas Quirúrgicas 3 capas;Mascarillas desechables 3 capas con clip nasal, caja 50 unidades;8500
DEN-010;Radiografía Dental Digital Sensor;Sensor radiográfico RVG tamaño 2 con software incluido;1850000
DEN-011;Bracket Metálico Roth 022;Kit ortodoncia brackets metálicos slot 022 Roth, 20 piezas;95000
DEN-012;Amalgama Dental 3M Cápsulas;Amalgama dental dispersa fásica, caja 50 cápsulas 600mg;78000
DEN-013;Fresas Dentales Carburo Tungsteno;Set 10 fresas de carburo de tungsteno FG para turbina;35000
DEN-014;Sellante de Fosas y Fisuras;Sellante fotopolimerizable, jeringa 2ml, opaco o transparente;22000
DEN-015;Eyector de Saliva Desechable;Eyectores de saliva desechables, bolsa 100 unidades;9000
